,ticker,year,quarter,speaker-name,speaker-context,is-asker,remark-number,remark
0,TSLA,2022,4,rod-lache,wolfe-research,True,0,"I think I'm unmuted.
Can you hear me?
Martin Viecha
Yes, we can.
"
1,TSLA,2022,4,rod-lache,wolfe-research,True,1,"OK.
Thank you.
Firstly, it sounds like your 1.8 million unit volume indication for this year is somewhat more supply constrained than demand-constrained.
Then I have a follow-up on cost.
Is that an accurate statement?
"
2,TSLA,2022,4,rod-lache,wolfe-research,True,2,"Yes.
And on the cost side, the numbers that we just saw from you, as you pointed out, were weighed down by the 4680 ramp, the Berlin, Austin, Giga things, processes, not at rate.
Can you give us a bit of an indication of the headwind that you're absorbing from those things like you did last quarter? And then, lastly, on cost, do you think that we can tease out an interesting data point from -- on where battery costs are headed from this announcement that you just made last night? If I'm correct, it looks like the investment cost per kilowatt-hour is less than half of what I've seen anywhere else, maybe $30 a kilowatt-hour for that capacity.
"
3,TSLA,2022,4,rod-lache,wolfe-research,True,3,
4,TSLA,2022,4,adam-jonas,morgan-stanley,True,0,"Hi.
Elon, first question is, is it time for Tesla to significantly expand the captive finco? I mean, you only have like $4.5 billion of receivables.
It's basically nothing compared to other big auto companies.
And then, I have a follow-up.
"
5,TSLA,2022,4,adam-jonas,morgan-stanley,True,1,"Thanks, Elon.
And just a follow-up.
I don't want to steal thunder from March 1 down in Austin, but how close are we to that step-change improvement in BOM cost where you could sell an EV for under $25,000 or $30,000 and actually generate a profit, that kind of real moving assembly line moment in manufacturing? Again, I don't want to steal the thunder, but just if you wanted to kind of wrap up with thoughts there, that would be helpful.
"
6,TSLA,2022,4,adam-jonas,morgan-stanley,True,2,"More TSLA analysis
All earnings call transcripts
"
7,TSLA,2022,4,andrew-baglino,"senior-vice-president,-powertrain-and-energy-engineering",False,0,"Yes.
Thanks, Martin.
First, I just want to say congrats and thanks to the Tesla 4680 team for achieving 1,000 a week in Q4.
It was no small feat.
Definitely a result of more than a couple of years of hard work.
As far as where we stand, in Texas, one of four lines are in production, with the remaining three in stages of commissioning and install.
Really, our 2023 goal as a 4680 team is to deliver a cost-effective ramp of 4680s well ahead of Cybertruck.
Focus areas are dialing in and improving the quality of the high-volume supply mechanical parts and driving factory process yields up as much as possible.
Between two of those things, if we had achieved those key goals, we'll be well set up to -- for a major 4680 year in 2024.
Martin Viecha
Thank you.
Next investor question is, Elon said previously that FSD Hardware 4 will most likely come first in Cybertruck.
Is that still the current plan? Do you expect there to be an upgrade path for Hardware 3 cars to Hardware 4?
"
8,TSLA,2022,4,andrew-baglino,"senior-vice-president,-powertrain-and-energy-engineering",False,1,"Yes.
I mean, the goals we've outlaid at Battery Day on using the investment required to deploy cell manufacturing, I mean, that's been a key focus of ours, and the team is doing a good job hitting the marks on that focus.
"
9,TSLA,2022,4,andrew-baglino,"senior-vice-president,-powertrain-and-energy-engineering",False,2,"I was going to say, we're also -- our fleet is starting to mature, the 3, Y fleet.
And we're gathering a lot of data out of that fleet to understand how we can sort of bring some margin that we didn't know we had out of the product.
So over the course of 2023, on the powertrain side, we're actually going to go after sort of some materials where we're paying for more performance than we need or we have more content than we need without impacting reliability at all.
And that will actually add up to a pretty significant cost reduction on the powertrain side over the course of 2023.
So we're not just sort of relying on supply.
We're also doing design actions to bring cost out.
"
